ligand,label
LXRa_agonist79,0
LXRa_agonist147,0
LXRa_agonist12,0
LXRa_agonist144,0
LXRa_agonist163,0
LXRa_agonist209,0
LXRa_agonist49,0
LXRa_agonist220,0
LXRa_agonist305,0
LXRa_agonist57,0
LXRa_agonist141,0
LXRa_agonist271,0
LXRa_agonist35,0
LXRa_agonist214,0
LXRa_agonist195,0
LXRa_agonist216,0
LXRa_agonist122,0
LXRa_agonist150,0
LXRa_agonist73,0
LXRa_agonist65,0
LXRa_agonist3,0
LXRa_agonist40,0
LXRa_agonist309,0
LXRa_agonist136,0
LXRa_agonist175,0
LXRa_agonist235,0
LXRa_agonist127,0
LXRa_agonist98,0
LXRa_agonist262,0
LXRa_agonist52,0
LXRa_agonist164,0
LXRa_agonist190,0
LXRa_agonist226,0
LXRa_agonist33,0
LXRa_agonist70,0
LXRa_agonist74,0
LXRa_agonist165,0
LXRa_agonist312,0
LXRa_agonist115,0
LXRa_agonist263,0
LXRa_agonist101,0
LXRa_agonist42,0
LXRa_agonist55,0
LXRa_agonist13,0
LXRa_agonist133,0
LXRa_agonist63,0
LXRa_agonist25,0
LXRa_agonist180,0
LXRa_agonist179,0
LXRa_agonist278,0
LXRa_agonist191,0
LXRa_agonist114,0
LXRa_agonist254,0
LXRa_agonist121,0
LXRa_agonist132,0
LXRa_agonist188,0
LXRa_agonist19,0
LXRa_agonist211,0
LXRa_agonist135,0
LXRa_agonist299,0
LXRa_agonist245,0
LXRa_agonist6,0
LXRa_agonist259,0
LXRa_agonist286,0
LXRa_agonist27,0
LXRa_agonist148,0
LXRa_agonist255,0
LXRa_agonist45,0
LXRa_agonist82,0
LXRa_agonist83,0
LXRa_agonist51,0
LXRa_agonist275,0
LXRa_agonist149,0
LXRa_agonist294,0
LXRa_agonist87,0
LXRa_agonist228,0
LXRa_agonist75,0
LXRa_agonist212,0
LXRa_agonist155,0
LXRa_agonist7,0
LXRa_agonist81,0
LXRa_agonist41,0
LXRa_agonist71,0
LXRa_agonist86,0
LXRa_agonist44,0
LXRa_agonist48,0
LXRa_agonist314,0
LXRa_agonist11,0
LXRa_agonist59,0
LXRa_agonist297,0
LXRa_agonist257,0
LXRa_agonist10,0
LXRa_agonist46,0
LXRa_agonist89,0
LXRa_agonist193,0
LXRa_agonist157,0
LXRa_agonist207,0
LXRa_agonist32,0
LXRa_agonist30,0
LXRa_agonist300,0
LXRa_agonist208,0
LXRa_agonist264,0
LXRa_agonist192,0
LXRa_agonist187,0
LXRa_agonist285,0
LXRa_agonist68,0
LXRa_agonist106,0
LXRa_agonist95,0
LXRa_agonist146,0
LXRa_agonist261,0
LXRa_agonist274,0
LXRa_agonist279,0
LXRa_agonist172,0
LXRa_agonist268,0
LXRa_agonist38,0
LXRa_agonist182,0
LXRa_agonist206,0
LXRa_agonist104,0
LXRa_agonist194,0
LXRa_agonist39,0
LXRa_agonist137,0
LXRa_agonist108,0
LXRa_agonist17,0
LXRa_agonist161,0
LXRa_agonist200,0
LXRa_agonist110,0
LXRa_agonist269,0
LXRa_agonist186,0
LXRa_agonist210,0
LXRa_agonist92,0
LXRa_agonist272,0
LXRa_agonist224,0
LXRa_agonist14,0
LXRa_agonist244,0
LXRa_agonist295,0
LXRa_agonist176,0
LXRa_agonist61,0
LXRa_agonist181,0
LXRa_agonist72,0
LXRa_agonist54,0
LXRa_agonist183,0
LXRa_agonist90,0
LXRa_agonist215,0
LXRa_agonist84,0
LXRa_agonist100,0
LXRa_agonist16,0
LXRa_agonist252,0
LXRa_agonist292,0
LXRa_agonist243,0
LXRa_agonist107,0
LXRa_agonist126,0
LXRa_agonist167,0
LXRa_agonist306,0
LXRa_agonist91,0
LXRa_agonist29,0
LXRa_agonist66,0
LXRa_agonist76,0
LXRa_agonist2,0
LXRa_agonist105,0
LXRa_agonist246,0
LXRa_agonist26,0
LXRa_agonist131,0
LXRa_agonist311,0
LXRa_agonist301,0
LXRa_agonist166,0
LXRa_agonist227,0
LXRa_agonist153,0
LXRa_agonist28,0
LXRa_agonist307,0
LXRa_agonist1,0
LXRa_agonist80,0
LXRa_agonist283,0
LXRa_agonist64,0
LXRa_agonist298,0
LXRa_agonist293,0
LXRa_agonist162,0
LXRa_agonist130,0
LXRa_agonist173,0
LXRa_agonist69,0
LXRa_agonist219,0
LXRa_agonist37,0
LXRa_agonist60,0
LXRa_agonist178,0
LXRa_agonist230,0
LXRa_agonist242,0
LXRa_agonist58,0
LXRa_agonist189,0
LXRa_agonist304,0
LXRa_agonist15,0
LXRa_agonist120,0
LXRa_agonist116,0
LXRa_agonist113,0
LXRa_agonist85,0
LXRa_agonist260,0
LXRa_agonist78,0
LXRa_agonist67,0
LXRa_agonist93,0
LXRa_agonist36,0
LXRa_agonist53,0
LXRa_agonist205,0
LXRa_agonist302,0
LXRa_agonist256,0
LXRa_agonist229,0
LXRa_agonist139,0
LXRa_agonist213,0
LXRa_agonist296,0
LXRa_agonist109,0
LXRa_agonist174,0
LXRa_agonist267,0
LXRa_agonist97,0
LXRa_agonist47,0
LXRa_agonist34,0
LXRa_agonist217,0
LXRa_agonist287,0
LXRa_agonist129,0
LXRa_agonist111,0
LXRa_agonist241,0
LXRa_agonist112,0
LXRa_agonist9,0
LXRa_agonist221,0
LXRa_agonist270,0
LXRa_agonist290,0
LXRa_agonist218,0
LXRa_agonist222,0
LXRa_agonist159,0
LXRa_agonist171,0
LXRa_agonist177,0
LXRa_agonist291,0
LXRa_agonist248,0
LXRa_agonist125,0
LXRa_agonist31,0
LXRa_agonist225,0
LXRa_agonist310,0
LXRa_agonist185,0
LXRa_agonist62,0
LXRa_agonist23,0
LXRa_agonist184,0
LXRa_agonist303,0
LXRa_agonist128,0
LXRa_agonist117,0
LXRa_agonist282,0
LXRa_agonist77,0
LXRa_agonist223,0
LXRa_agonist8,0
LXRa_agonist277,0
LXRa_agonist56,0
LXRa_agonist284,0
LXRa_agonist142,0
LXRa_agonist124,0
LXRa_agonist151,0
LXRa_agonist156,0
LXRa_agonist118,0
LXRa_agonist258,0
LXRa_agonist308,0
LXRa_agonist99,0
LXRa_agonist158,0
LXRa_agonist94,0
LXRa_agonist265,0
LXRa_agonist134,0
LXRa_agonist43,0
LXRa_agonist123,0
LXRa_agonist160,0
LXRa_agonist170,0
LXRa_agonist266,0
LXRa_agonist273,0
LXRa_agonist138,0
LXRa_agonist119,0
LXRa_agonist249,0
LXRa_agonist50,0
LXRa_antagonist46,1
LXRa_antagonist1,1
LXRa_antagonist49,1
LXRa_antagonist12,1
LXRa_antagonist22,1
LXRa_antagonist32,1
LXRa_antagonist10,1
LXRa_antagonist36,1
LXRa_antagonist31,1
LXRa_antagonist30,1
LXRa_antagonist4,1
LXRa_antagonist47,1
LXRa_antagonist21,1
LXRa_antagonist43,1
LXRa_antagonist8,1
LXRa_antagonist7,1
LXRa_antagonist27,1
LXRa_antagonist16,1
LXRa_antagonist2,1
LXRa_antagonist38,1
LXRa_antagonist37,1
LXRa_antagonist41,1
LXRa_antagonist13,1
LXRa_antagonist28,1
LXRa_antagonist5,1
LXRa_antagonist33,1
LXRa_antagonist14,1
LXRa_antagonist3,1
LXRa_antagonist6,1
LXRa_antagonist23,1
LXRa_antagonist9,1
LXRa_antagonist35,1
LXRa_antagonist29,1
LXRa_antagonist24,1
LXRa_antagonist19,1
LXRa_antagonist17,1
LXRa_antagonist11,1
LXRa_antagonist15,1
LXRa_antagonist44,1
LXRa_antagonist34,1
LXRa_antagonist20,1
